gene,avg_logFC,avg(logUMI)_cluster_4,avg(logUMI)_cluster_all,p_val,p_val_adj,cluster,Tabulo,
Mt2,-0.531220685,0.020620269,0.161244693,4.80E-05,0.582748571,4,,
Tmem123,-0.532694693,0.216898164,0.351001573,0.002718719,1,4,,
Thrsp,-0.534400141,0.00867784,0.276458518,4.43E-16,5.39E-12,4,,
Nfic,-0.534655865,0.166002816,0.496299029,1.13E-11,1.37E-07,4,,
Fam212a,-0.53581528,0.02047322,0.30346665,4.19E-16,5.09E-12,4,,
Xlr,-0.536578014,0.042151593,0.328337881,6.15E-14,7.47E-10,4,,
Lrrc3,-0.537552423,0.01636916,0.297826869,2.16E-16,2.62E-12,4,,
Skil,-0.537669906,0.139790773,0.469684781,2.32E-13,2.81E-09,4,,
Gm13889,-0.537731591,0.033647262,0.25083069,3.84E-09,4.66E-05,4,,
Myc,-0.538956171,0.016694344,0.260939279,1.01E-12,1.22E-08,4,,
Il10rb,-0.539429658,0.435418073,0.806080651,3.04E-12,3.69E-08,4,,
Fchsd2,-0.541479674,0.018205996,0.29822146,2.07E-16,2.51E-12,4,,
Zfp36l1,-0.542876032,0.397320454,0.856616624,1.17E-13,1.42E-09,4,,
Nrip1,-0.544224989,0.106188211,0.421656244,5.90E-13,7.17E-09,4,,
Pdlim4,-0.546745784,0.050776213,0.342760037,1.96E-14,2.39E-10,4,,
Otud1,-0.547713782,0.023874731,0.243612017,1.37E-09,1.66E-05,4,,
Clec5a,-0.550728474,0.068582375,0.370646971,2.80E-14,3.40E-10,4,,
Fam105a,-0.551155943,0.900360413,1.329974281,4.16E-13,5.05E-09,4,,
Sall1,-0.551512349,0.007138762,0.302217749,6.61E-19,8.03E-15,4,,
Snn,-0.552129066,0.005524648,0.303131913,1.15E-19,1.40E-15,4,,
Tspan7,-0.553064476,0,0.294478544,5.61E-22,6.82E-18,4,,
Mcfd2,-0.553223882,0.144739207,0.470770607,3.41E-15,4.14E-11,4,,
Plod1,-0.554540638,0.038241338,0.331319662,1.73E-15,2.10E-11,4,,
P4ha1,-0.555453915,0.140401944,0.466188498,2.56E-12,3.11E-08,4,,
Qk,-0.556625778,0.320311186,0.727091748,6.18E-13,7.50E-09,4,,
Mob3c,-0.557781035,0.022661843,0.310770424,4.70E-16,5.70E-12,4,,
Rnaset2b,-0.559823735,0.463042784,0.852275437,3.66E-13,4.45E-09,4,,
Pdia4,-0.560179575,0.183309717,0.497528202,1.58E-11,1.92E-07,4,,
Jmjd1c,-0.56094654,0.153064044,0.504879843,2.78E-14,3.38E-10,4,,
Tmem100,-0.565577987,0.007138762,0.287242041,1.11E-16,1.35E-12,4,,
Gpr84,-0.565963227,0.06332808,0.355288225,3.83E-12,4.65E-08,4,,
Rnaset2a,-0.571870581,0.443721509,0.872682679,1.03E-14,1.25E-10,4,,
Slc3a2,-0.571872668,0.743151146,1.246528419,2.02E-14,2.45E-10,4,,
Dhrs3,-0.576109579,0.173997176,0.526276934,2.86E-13,3.47E-09,4,,
Zfp36,-0.576989441,1.230125832,1.573906796,1.76E-14,2.14E-10,4,,
Rasgrp3,-0.57746562,0.022302184,0.336718316,4.23E-18,5.13E-14,4,,
Cd209a,-0.581413057,0.183354897,0.407692003,0.000646407,1,4,,
Rogdi,-0.582425329,0.17220623,0.548787185,9.51E-15,1.16E-10,4,,
Malat1,-0.583735955,5.053920319,5.551250988,3.11E-24,3.78E-20,4,,
Herpud1,-0.587541886,0.272252514,0.656556077,1.61E-13,1.96E-09,4,,
Gns,-0.593388632,0.089634412,0.430591511,2.99E-15,3.63E-11,4,,
Elmo1,-0.593912989,0.195547387,0.565993466,2.92E-13,3.54E-09,4,,
Rin2,-0.594655918,0.119987463,0.461109507,4.78E-13,5.80E-09,4,,
Arl4c,-0.599584218,0.414102795,0.7978625,4.56E-13,5.54E-09,4,,
Il21r,-0.600162858,0.03927377,0.382202785,3.44E-19,4.18E-15,4,,
Smap2,-0.603560951,0.264022805,0.651079157,5.41E-15,6.58E-11,4,,
Nav2,-0.606681459,0.033014414,0.357027095,3.91E-17,4.75E-13,4,,
Tuba1a,-0.607158372,0.407645505,0.791841782,8.74E-11,1.06E-06,4,,
Hmgn1,-0.609898853,0.147743776,0.552552229,6.22E-18,7.56E-14,4,,
Ptms,-0.610599614,0.267114807,0.717933605,4.52E-17,5.49E-13,4,,
Pld3,-0.611257608,0.08799995,0.435486066,6.87E-16,8.35E-12,4,,
Spint1,-0.614257696,0.026377407,0.359078842,5.44E-19,6.61E-15,4,,
Slc15a3,-0.615804849,0.229306656,0.566766353,1.88E-10,2.29E-06,4,,
Egr1,-0.618820993,0.140903592,0.441610566,2.70E-09,3.28E-05,4,,
Tmem59,-0.622585462,1.051393862,1.58757919,1.88E-19,2.28E-15,4,,
Csnk1e,-0.622783402,0.189271582,0.587506013,3.11E-15,3.78E-11,4,,
H2-DMb1,-0.622862218,0.573232196,1.023792754,1.74E-11,2.11E-07,4,,
Pdia3,-0.624835451,0.972367442,1.553926797,8.07E-18,9.80E-14,4,,
Tmem37,-0.626832135,0.061405288,0.413587487,2.13E-16,2.59E-12,4,,
Ntpcr,-0.627686512,0.17146314,0.555181909,4.18E-15,5.08E-11,4,,
Itm2b,-0.6314005,3.268159648,3.643168473,5.26E-10,6.38E-06,4,,
Ctc1,-0.632755758,0.07999214,0.438811337,2.59E-16,3.14E-12,4,,
Sipa1,-0.63563558,0.16084179,0.55704956,3.26E-16,3.96E-12,4,,
Cd34,-0.636493703,0.033026349,0.383819471,2.57E-18,3.12E-14,4,,
Tpst2,-0.640659065,0.443762032,0.872094931,1.17E-17,1.42E-13,4,,
Gtf2h2,-0.643978434,0.080834931,0.451678834,4.22E-17,5.12E-13,4,,
Hvcn1,-0.650186069,0.039854584,0.411670252,1.15E-20,1.39E-16,4,,
Oxct1,-0.650342547,0.1127656,0.514702493,3.11E-19,3.77E-15,4,,
Nfkbia,-0.650388964,1.386223296,1.753787688,8.27E-08,0.001004263,4,,
Klrk1,-0.650431309,0.065575143,0.277245377,4.89E-06,0.059344966,4,,
Sgce,-0.651395371,0,0.352312636,1.55E-25,1.89E-21,4,,
Laptm5,-0.653176489,1.986607926,2.454598,8.37E-24,1.02E-19,4,,
Atp2c1,-0.655822216,0.187327878,0.480205725,3.62E-08,0.000439923,4,,
Mtdh,-0.657069695,0.760315682,1.302716062,1.81E-18,2.20E-14,4,,
Lair1,-0.6596414,0.729911751,1.224566582,1.93E-17,2.34E-13,4,,
Slc29a3,-0.663403546,0.146304314,0.549028237,8.04E-17,9.76E-13,4,,
Pros1,-0.666896925,0.076499662,0.464901114,1.99E-18,2.42E-14,4,,
Hmha1,-0.671669959,0.676767838,1.157931343,1.76E-17,2.14E-13,4,,
Ubc,-0.672586645,1.958195264,2.504966245,3.39E-16,4.12E-12,4,,
Tmem173,-0.673709738,0.156665772,0.556696862,7.65E-17,9.29E-13,4,,
Tuba1b,-0.674379412,0.683816489,1.263727334,1.77E-17,2.15E-13,4,,
Id2,-0.679401435,0.670880025,0.943412034,2.71E-06,0.032975063,4,,
Tspan3,-0.681501373,0.138966968,0.545224505,2.13E-16,2.59E-12,4,,
Cfh,-0.682566981,0.156351129,0.571820058,3.51E-16,4.26E-12,4,,
Frmd4b,-0.683371502,0.030481606,0.410057464,3.24E-21,3.94E-17,4,,
Cxcl16,-0.69467995,0.107886647,0.502269001,6.32E-16,7.68E-12,4,,
Snx5,-0.696258661,0.660649315,1.212228866,8.65E-22,1.05E-17,4,,
Tanc2,-0.696334146,0.006751571,0.392023084,6.93E-25,8.42E-21,4,,
Fcgr1,-0.699041137,0.408092,0.9331649,3.95E-17,4.80E-13,4,,
Il1a,-0.703325063,0.025085072,0.341316815,2.36E-15,2.87E-11,4,,
Upk1b,-0.704270873,0,0.35753629,8.24E-24,1.00E-19,4,,
Fez2,-0.706638105,0.060951546,0.481505911,1.27E-21,1.54E-17,4,,
Cttnbp2nl,-0.709030165,0.024640199,0.429944917,1.39E-24,1.69E-20,4,,
Phgdh,-0.711941332,0.04499412,0.438769014,1.75E-20,2.13E-16,4,,
Adora3,-0.715824053,0.022421675,0.398934313,8.03E-21,9.75E-17,4,,
Slc16a6,-0.716753912,0.029633578,0.433385803,3.39E-23,4.12E-19,4,,
Rrbp1,-0.717167636,0.839187734,1.395128807,3.01E-19,3.66E-15,4,,
Stab1,-0.718625528,0.0336485,0.43091831,4.72E-21,5.73E-17,4,,
Usp2,-0.719435106,0.017622736,0.416932999,2.40E-24,2.91E-20,4,,
Adrb2,-0.721403785,0.309683211,0.737664466,1.32E-12,1.61E-08,4,,
Unc93b1,-0.725721487,1.342998526,1.882513551,3.23E-20,3.93E-16,4,,
Ppcdc,-0.729029616,0.045503131,0.460477526,5.67E-22,6.89E-18,4,,
0610040J01Rik,-0.730361218,0.050241735,0.463082909,3.69E-21,4.48E-17,4,,
Mertk,-0.732502435,0.015566901,0.418972563,6.90E-24,8.39E-20,4,,
PISD,-0.737501683,0.185803116,0.6856144,3.43E-20,4.17E-16,4,,
Tcn2,-0.740963818,0.413938195,0.909785681,1.92E-18,2.33E-14,4,,
Tspan4,-0.741078826,0.019249927,0.443735867,5.96E-26,7.24E-22,4,,
Junb,-0.744299742,1.980247641,2.604392097,1.33E-15,1.62E-11,4,,
Ang,-0.744781085,0.081556214,0.505039579,9.28E-20,1.13E-15,4,,
Grn,-0.752156093,1.424375928,1.979520161,9.68E-19,1.18E-14,4,,
Serpine1,-0.755937077,0.015113363,0.2170084,4.33E-07,0.005258591,4,,
Vgll4,-0.757576411,0.127069862,0.549370539,3.22E-17,3.91E-13,4,,
Ctss,-0.759997587,3.321624792,3.596122639,2.18E-21,2.64E-17,4,,
Klk8,-0.761035373,0.036523664,0.460762626,4.12E-23,5.00E-19,4,,
Adap2os,-0.764350997,0.055559033,0.485631962,4.97E-22,6.04E-18,4,,
Cadm1,-0.765031967,0.026690768,0.456783879,9.43E-25,1.14E-20,4,,
Ccl12,-0.771154821,0.200129769,0.479481436,1.16E-05,0.1404953,4,,
Slc1a3,-0.77247193,0.009686929,0.418551365,3.20E-24,3.89E-20,4,,
F11r,-0.776036022,0.014591116,0.460206708,1.83E-28,2.22E-24,4,,
Cxxc5,-0.778669458,0.032311867,0.477077312,9.30E-25,1.13E-20,4,,
Tbxas1,-0.779702503,0.15996967,0.642584571,3.50E-20,4.25E-16,4,,
Btg2,-0.781992232,1.467238882,2.161949933,1.11E-22,1.35E-18,4,,
Ctsz,-0.782546317,1.71476693,2.264877114,2.11E-22,2.57E-18,4,,
Epb41l2,-0.784433986,0.128147032,0.626847309,1.48E-22,1.79E-18,4,,
Hexa,-0.789300613,1.159551262,1.793403844,4.38E-19,5.32E-15,4,,
Ophn1,-0.790830541,0.024173613,0.472065313,1.02E-25,1.24E-21,4,,
Rnf13,-0.797420732,0.371305924,0.945491101,1.51E-22,1.84E-18,4,,
Entpd1,-0.798726935,0.118219877,0.614936853,4.68E-23,5.69E-19,4,,
Sirpa,-0.799320208,0.515886391,1.101889556,9.98E-20,1.21E-15,4,,
Ier3,-0.801827131,0.282844872,0.680227735,3.86E-09,4.69E-05,4,,
Gatm,-0.80236687,0.075685624,0.538260004,2.23E-22,2.71E-18,4,,
